01Sorszám,01Sorszám_RMNY,01Sorszám_RMNY-S,externalData,hypothetic,appendix,03Cím,01xIdö,01xHely,06xNyomda,06Nyomda,07Kolláció,08Terjedelem,09Formátum,10Könyvdísz,11Forrás,12Tárgy,14Facsimile,16Nyelv,13Lelöhely,13Lelöhely_count,cities,15Olim,15Olim_count,olimCities,08xTerjedelem,09xFormátum2,oldal_per_iv,ivszam
2808,2808,,,,,"SINAPIUS-HORÈIÈKA, Ján: Parva schola in usum discipulorum Christi accom(m)odata et disposita studio et opera Ioannis Sinapii, ecclesiae August. confessionis ministri in regia ac libera civitate Szakolca. [Trenchinii] MDCLVIII [Èížek].",1658,Trencsén,"Cízek, Nikodém",,,,,,RMK II 917 - Caplovic 1860,Evangélikus vallási tanítás.,,latin,Budapest Acad 1 (C-variáns) - Budapest Nat 1 (B-variáns) 2 (C-variáns) - Debrecen Ref 1 (D-variáns) - Martin Nat 1 (A-variáns) - Liptovský Mikuláš Ev 2* (D-variáns),6,"Budapest=3, Debrecen=1, Martin=1, Liptovský Mikuláš=1",,0,,,,,
2809,2809,,,,,"DEBRECENI SZÛCS János [transl.]: Conciliatorium Biblicum, az az az egész Sz. irasban, ugy mint az Oh és Uj Testamentomban egy mással ellenkezni láttato hellyeknek öszve valo békéltetések, avagy megh egyeztetések, mellyek sok derekas, kivaltképpen valo kerdésekkel nagyub epületnek okaért megh bövittettek, gyakor hellyen értelmesseb feleletekkel megh vilagosittattak, es mostan romai nyelvböl ujjonnan magyar nyelvre fordittattak, nemzete hasznaért ki is bocsattattak Debreczeni Janos altal. Ultrajectumban 1658 Waesberge Janos.",1658,Utrecht,"Waesberge, Jan van",,"*6, A6-Z6,Aa6-Ss6",[12] + 476 [recte 478] + [14] pag.,12°,Init.,RMK I 937,Református bibliai idézetgyûjtemény.,,magyar,"In 14 bibliothecis 21 expl. - Budapest Acad, Nat, Univ - Cluj-Napoca Acad - Debrecen Ref, Univ - London BL - Sárospatak Ref - Szeged Univ - Târgu Mureş",21,"Budapest=3, Cluj-Napoca=1, Debrecen=2, London=1, Sárospatak=1, Szeged=1, Târgu Mureş=1",,0,,504,12,24,21
2810,2810,,,,,"APÁCAI CSERE János: Disputatio philosophica de mente humana, quam ... sub praesidio ... d. Joh. Chieri Apacii, ss. theol. doctoris, ... in .. collegio Claudiopolitano reformatorum professoris ordinarii publice defendendam suscipit Matthias Fogarasi, theol. phil. et ling. studiosus. Varadini MDCLVIII apud Abrahamum Kertesz Szenciensem.",1658,Várad,Szenei Kertész Abrahám,,A4 B4,[8] fol.,4°,"1 ins., orn., init.",RMK II 918,Filozófiai vizsgatételek.,,,Budapest Acad 1,1,Budapest=1,"Marosvásárhely, Teleki kvt.",1,Marosvásárhely,16,4,8,2
2811,2811,,,,,"COMENIUS, Joannes Amos - ENYEDI Sámuel: Praecepta morvm, institutioni puerorum accomodata, facilioris memoriae causa, stylo juxta textum solutum sonante, carminibus comprehensa proponuntur, ut autem intelligentius disci possint, textus etiam e regione exhibetur, prout a ... Joanne-Amos Comenio collectus est, in usum Varadien. scholae, opera Samuelis Enyedi, m. d. Varadini MDCLVIII [Szenci Kertész].",1658,Várad,Szenei Kertész Abrahám,,A8 B8,[16] fol.,8°,,RMK II 919,Erkölcsi oktatás.,,latin,Budapest Nat cop. - Târgu Mureş 2*,1,Târgu Mureş=1,Marosvásárhely Teleki,1,Marosvásárhely,32,8,16,2
2812,2812,,,1,,<Kalendárium és prognosztikon az 1659. esztendõre. Várad 1658 Szenci Kertész. - 16°>,1658,Várad,Szenei Kertész Abrahám,,,,,,,,,magyar,,0,,,0,,,,,
2813,2813,,1,,,»PÜSPÖKI János [transl.]: Szent genealógia. Georgius Horniustól magyarra fordította P. I. Várad 1658 Szenci Kertész.«,1658,Várad,Szenei Kertész Abrahám,,,,,,,,,magyar,,0,,,0,,,,,
2814,2814,,,1,,<M. G.: Tükör okulár. H. n. 1657-1659>,1659 előtt,Sine loco,sine typ. nomine,,,,,,,,,magyar,,0,,,0,,,,,
2815,2815,,,,,"HYMENAEIS solennibus viri ... Pavli Kray, ecciesiae Sclavonicae Bartphen(sis) diaconi ... sponsi et... Elisabetae ..., Jacobi Klösz, reipublicae Bartphensis judicis ... Aliae ... sponsae institutis ... schola Bartphensis congratulatur. (Bartphae 1659) [Klöss, jun.]",1659,Bártfa,"Klöss, Jákob, jun.",,[ ]4,[4] fol.,4°,,RMK II 920 - Caplovic 208,Lakodalmi versek latinul és németül.,,latin; német,Budapest Nat cop. - Presov Scient 1,1,Presov=1,,0,,8,4,8,1
2816,2816,,,,,"VOTA nuptiis auspicatissimis ... Pavli Kray, fato divino ecclesiae Sclavorum apud Bartphenses diaconi ... sponsi et ... Elisabetae, viri ... consultissimi ... Jacobi Klösz, reipublicae Bartphensis ... judicis fi liae unice ... sponsae dicata ... (Bartphae MDCLIX) [Klöss, jun.].",1659,Bártfa,"Klöss, Jákob, jun.",,[ ]4,[4] fol.,4°,"Orn., init.",RMK II 921 - Caplovic 209,Lakodalmi versek.,,latin,Budapest Acad cop. - Budapest Nat cop. - Presov Scient 1,1,Presov=1,,0,,8,4,8,1
2817,2817,,,,,"[1] UY és ó kalendariom Kristus urunk születése után MDCLX. esztendöre valo, melly intercalaris, az az közbetétetett esztendö, 366 napot foglal magában. Nagy szorgalmatosságal a’ bechi meridianomra rendeltetvén Kürner Lipold , aa. ll. et philos. baccal. által és Püchler Vid , altenburgi mátematicus neve alat világossággra adatott, Német, Magyar és ezek szomszédságában levö országok szolgálattjara, a magyar historia és sokadalmakkal eggyüt. - [2] (Prognosticon az az iöuendö dolgoknak égi nézésekböl-valo ielensége auagy nagy praktika, Kristus urunk születése után valo MDCLX. esztendöre, mely intercalaris, az az közbetétetett esztendönek mondatik, 366 napot foglal magában. Nagy szorgalmatossággal az egi chillagoknak iarasok szerent a’ Napnak, Hold-Holdnak [!], planetáknak forgásokrol és onnét észben vett szélvészekröl, az Austriay Herczeségnek[!] és több szomzedsagban levö országoknak meridianumra [!] szérént eszve szedegetett, Püchler Vid altenburgi matematicus neve alat vilagossagra adatott Kürner Lipold és Mate által.) Béchben [1659] Kürner Jakab János [sen.], Also Austrianak könyw-nyomtatoja.",1659,Bécs,"Kürner, Johann Jákob, sen.",,[A]8 B8-D8,[32] fol.,8°,"3 ins., orn., color.",RMK I 953,Uj-naptár ó-naptárral és prognosztikon.,,magyar,Budapest Nat 1,1,Budapest=1,,0,,64,8,16,4
2818,2818,,,,,"ALBRICH, Martin: Canones logici selectiores, quos in celebri gymn. Coronensi tempore examinis publici praeside m. Martino Albrichio, rectore gymnasii ejusdem ad disputandum proponit respondens Martinus Herrmannus Coronensis, ad diem 8. Octob. anno 1659. horis matutinis. (Coronae 1659) typis Herrmannianis repraesentat.",1659,Brassó,"Herrmann, Michael",,¶4,[4] fol.,4°,Orn.,RMK II 922,Logikai tézisek.,,,Brasov Arch 1 - Budapest Nat cop.,1,Brasov=1,Brassai ev. Gymn.,1,Brassó,8,4,8,1
2819,2819,,,,,"ALBRICH, Martin: Disputatio de consummatione seculi, quam ... in ... gymn. Coronensi tempore examinis publici praeside m. Martino Albrichio, rectore gymnasii ejusdem publice defendendam suscepit respondens Johannes Schulerus Batoschensis, ad diem 8. Octob. anno 1659. horis matutinis. (Coronae) 1659 typis Herrmannianis.",1659,Brassó,"Herrmann, Michael",,[ ]2,[2] fol.,8°,Orn.,RMK II 923,Teológiai vizsgatételek.,,,Brasov Arch 1 - Budapest Nat cop.,1,Brasov=1,,0,,4,8,16,0.25
2820,2820,,1,,,"»BERICHT, wie man sich bei der giftigen Seuche der Pestilenz zu verhalten habe. Cronstadt 1659 [Herrmann]. 1 Bogen in 4°.«",1659,Brassó,"Herrmann, Michael",,,,,,,,,egyéb; német,,0,,,0,,,,,
2821,2821,,1,,,"»FUCHS, Joannes: Fasciculus Disputationum philosophicarum, quem ... in electorali ad Albim Academia Wittebergensi ... publici academici exercitii gratia ... Philosophantium examini exposuit in Auditione Philosophorum A. C. 1653. et 1654. J[oannes] F[uchs] Coronensis. (Coronae 1659) Typis Michaelis Herrmanni.«",1659,Brassó,"Herrmann, Michael",,,,,,,,,,,0,,,0,,,,,
2822,2822,,,,,[1-2] [Kalender und Prognosticon auf das Jahr 1660. Kronstadt 1659 Herrmann.],1659,Brassó,"Herrmann, Michael",,[A8 B8] C8 + ?,[24 + ?] + ? fol.,16°,,,Naptár és prognosztikon.,,német,Brasov Arch 4 - Budapest Nat cop.,1,Brasov=1,,0,,48,16,32,1.5
2823,2823,,,,,"QUOD autor conjugii ... Martinvs Albrichivs Mediensis, p. t. rector scholae Coronensis ... secundum sponsus cum ... Sara ..., Iohannis Crestels, civis et patritii Coronensis ... vidua sponsa, sacra nuptiarum ... celebrabat prid(ie) Calend(ae) Decembr(is). MDCLIX, quibus fautores ac amici ... applaudebant. Coronae (1659) apud Michaëlem Herrmannum, p. t. judicem Coronensem.",1659,Brassó,"Herrmann, Michael",,[ ]4,[4] fol.,4°,,Gross: Kronstädter 1147,Lakodalmi versek latinul és németül.,,latin; német,Brassó Ev 1 - Budapest Nat cop.,1,Brassó=1,,0,,8,4,8,1
2824,2824,,,,,"TAEDAE secundis, utinam secundis! Nuptiarum ... Martini Albrichii, rectoris gymnasii Coronensis ... sponsi ut et ... Sarae, ... Iohannis Crestels, concivis urbis praefatae ... viduae, sponsae secunda Calendar. Decembris ... a nonnullis classis primae discipulis accensae, anno MDCLIX. Coronae (1659) charactere Herrmannio repraesentatae.",1659,Brassó,"Herrmann, Michael",,A4,[4] fol.,4°,,Gross: Kronstädter 1148,Lakodalmi versek latinul és németül.,,latin; német,Budapest Nat cop. - Brasov Ev 1,1,Brasov=1,,0,,8,4,8,1
2825,2825,,1,,,"»TÉCSI Joó Miklós: Lilium humilitatis. Az Isten Anya szent-egyháza maga meg aláztatására való keserves Siralma, melylyel engesztelte a meg haragudott Istent. Franequera. 1659. 12 r.«",1659,Franeker,,,,,,,,,,magyar,,0,,,0,,,,,
2826,2826,,,,,"AMOR, quo felicissimum amorem ... Georgii Fischer, v. d. m. ... Annam-Mariam Linkianam in tori societatem 14. Iulii anno MDCLIX. sibi adsciscentis prosequuntur amici. Cassoviae (1659) praelo Marci Severini.",1659,Kassa,"Severini, Márkus",,A4 B2,[6] fol.,4°,Orn.,RMK II 926 - Caplovic 560,Lakodalmi versek latinul és németül.,,latin; német,Budapest Nat 1,1,Budapest=1,,0,,12,4,8,1.5
2827,2827,,,,,"BARÓTI Miklós: A’ sz. bvlcsv méltosagának és hasznainak igaz értelmére vezérlö rövid tanvsag, mellyet e kis könyvecskében az hivek eleibe ád Sz. Ferencz szerzetiben lévö Baroti Fr. Miklos. Cassan 1659 Severinus Marcus.",1659,Kassa,"Severini, Márkus",,")(8, A8-V8 X7+1",[14] + 331 + [2] pag.,8°,"Orn., init.",RMK I 940 - Caplovic 561,Katolikus vallási tanítás.,,magyar,"In 10 bibliothecis 13 expl. - Budapest Acad, Nat, Univ - Dej OFM - Esztergom Simor - Gyöngyös - Kezmarok Ev - Kosice Scient - Nitra Dioec - Szeged Univ - etc.",13,"Budapest=3, Dej=1, Esztergom=1, Gyöngyös=1, Kezmarok=1, Kosice=1, Nitra=1, Szeged=1",,0,,347,8,16,21.6875
2828,2828,,1,,,"»CZEGLÉDI István: Egy katolikus embernek, más egy igaz Evangyeliomi téjen felneveltetett Kalvinista emberrel való beszelgetése. [Kassa] 1659 [Severini]. 8r.«",1659,Kassa,"Severini, Márkus",,,,,,,,,magyar,,0,,,0,,,,,
2829,2829,,,,,"CZEGLÉDI István: A’ megh-tert bünösnek a’ lelki-hartzban valo bai-vivasarol irt könyvnek elsö resze, mely vagyon az Idvességnek fundamentuma s’ annak eszközei felöl a C[assai] K[eresztyén] H[elvetica] G[yülekezet] L[elki] T[anitója], C[zeglédi] I[stván] a[ltal]. Cassan MDCLIX Severinus Marcus.",1659,Kassa,"Severini, Márkus",,")(8, A8-Z8, Aa8-Mm8 Nn1",[15] + 562 pag.,8°,"Orn.,init.",RMK I 942 - Caplovic 562,Református elmélkedés.,,magyar,"In 13 bibliothecis 18 expl. - Budapest Acad, Nat. Ref, Univ - Debrecen Ref, Univ - Esztergom Dioec - Martin Nat - Niznij Novgorod - Sárospatak Ref - Zaláu",18,"Budapest=3, Debrecen=2, Esztergom=1, Martin=1, Niznij Novgorod=1, Sárospatak=1, Zaláu=1",,0,,577,8,16,36.0625
2830,2830,,,,,"[CZEGLÉDI István: A megtért bûnösnek a lelki harcban való bajvívásáról. 1-3. rész. Kassa 1659 körül, Severini.]",1659,Kassa,"Severini, Márkus",,"[)(8, A8-Z8, Aa8-Mm8] Nn8 [Oo8-Tt8] Uu8 [Xx8] Yy8 [Zz8, Aaa8-Ccc8] Ddd1-3 [Ddd4-8] Eee1+?",[16] + 802 + ? pag.,8°,"Orn., init.?",MKsz 1881:329 - AkÉrt 1918: 324-328 - OSzKÉvk 1968-1969: 221-222 - Caplovic 605,Református elmélkedés.,,magyar,Budapest Nat 4 4 4 - Budapest Univ 4 - Cluj-Napoca Unit 4,5,"Budapest=4, Cluj-Napoca=1",Debrecen Univ (ld. Confessio 1979: 85),1,Debrecen,818,8,16,51.125
2831,2831,,,,,"C[ZEGLÉDI] I[stván]: Az orszagok romlasarvl irot könyvnek elsö resze, mellyet szerelmes hazájának békeségben való maradhatásáért irt a C[assai] H[elvetica] K[eresztyén] G[yülekezet] L[elki] T[anitója], C[zeglédi] I[stván]. Cassan MDCLIX Severinus Marcus.",1659,Kassa,"Severini, Márkus",,")(8 )((bis)4, A8-Z8, aa8-oo8 pp4","[26] + (350), 351-597 pag.",8°,Orn.,RMK I 941 - Caplovic 563,Református vitairat.,,magyar,"In 18 bibliothecis 25 expl. - Budapest Acad, Nat, Univ - Cluj-Napoca Acad, Univ - Debrecen Ref, Univ - Halle Univ (Berlin Univ Inst Halle Univ) - London BL - Sárospatak Ref - Târgu Mureş",25,"Budapest=3, Cluj-Napoca=2, Debrecen=2, Halle=1, London=1, Sárospatak=1, Târgu Mureş=1",,0,,622,8,16,38.875
2832,2832,,,,,"DIETERICH, Konrad: Epitome praecepeorum [!] rhetoricae in usum classicorum inferiorum ex institutionibus rhetoricis collecta a Conrado Diete[ri]co, philosophiae moralis professore et paedagogiarcha. Cassoviae MDCL[IX] [sum]ptibus Marci Se[verini].",1659,Kassa,"Severini, Márkus",,A12 B12,[24] fol.,12°,Orn.,RMK II 927 - Caplovic 564,Retorikai tankönyv.,,latin,Budapest Nat cop. - Cluj-Napoca Univ 2*,1,Cluj-Napoca=1,,0,,48,12,24,2
2833,2833,,1,,,»KALENDÁRIUM és prognosztikon az 1660. esztendõre. Kassa 1659 Severini. - 16°«,1659,Kassa,"Severini, Márkus",,,,,,,,,magyar,,0,,,0,,,,,
2834,2834,,1,,,"»MELISMATA Nuptiarum Festivitati Praest. Eliae Fridhuber Schemnitzio-Montani, Cant. Germ. Eper. cum Catharina Casp. Pfanschmid civis Caesareofor. fi lia an. 1659. d. 23. Sept. celebratarum dicata. Cassoviae 1659 typis Marci Severini. 4°«",1659,Kassa,"Severini, Márkus",,,,,,,,,latin,,0,,,0,,,,,
2835,2835,,1,,,»SÁMBÁR Mátyás: Lapis Lydius ocularis praedicantici; Próba köve egy tzigány okulárnak. [Kassa] 1659. 12°«,1659,Kassa,"Severini, Márkus",,,,,,,,,magyar,,0,,,0,,,,,
2836,2836,,,,,"(ARTICULI dominorum regnicolarvm trivm nationvm regni Transylvaniae et partium regni Hungariae eidem annexarum in comitiis eorum generalibus ex edicto suae celsitudinis principalis in civitatem Bistriciensem, ad diem vigesimum sextum meusis [!] Februarii anni millesimi sexcentesimi quinquagesimi noni indictis, celebratis conclusi.) [Kolozsvár 1659 typ. Heltai, Abrugi György.]",1659,Kolozsvár,typ. Heltai,,A2 B2,[4] fol.,2°,,MKsz 1916: 94,Erdélyi országgyûlési törvénycikkek magyar nyelven.,,magyar,Budapest Arch 1 - Budapest Univ 1 - Székesfehérvár Arch 2,3,"Budapest=2, Székesfehérvár=1",Budapest Acad,1,Budapest,8,2,4,2
2837,2837,,,,,"LIBELLVS elegantissimvs, qui inscribitur Cato, de praeceptis vitae communis. Igen szép könyvetske, mely Catonak neveztetik, az közönseges jó életnek oktatásárol. Ein schön Büchlein, welches man Cato nennet, von der unterweisung gemeines lebens. Clavdiopoli 1659 typis Helthanis apud Ioannem Ravium, Georgius Abrugi.",1659,Kolozsvár,typ. Heltai,,A8-C8 + [ ]1?,[24 + 1?] fol.,8°,,RMK II 928 - Sztripszky I 2021/228 <- MKsz 1882: 86,"Bölcs mondások gyûjteménye latin, magyar és német nyelven.",,latin; magyar; német,Budapest Nat cop. - Cluj-Napoca Acad 2*,1,Cluj-Napoca=1,Segesvár ev. gymn. (ép.),1,Segesvár,50,8,16,3.125
2838,2838,,1,,,»SERIES Lectionum et Orationum in Examine observanda. [Claudiopoli 1659? typ. Heltai.]«,1659,Kolozsvár,typ. Heltai,,,,,,,,,latin,,0,,,0,,,,,
2839,2839,,1,,,"»[VÁRFALVI KÓSA János:] [1] Catechesis. Az üdvességnek fundamentumarol rövid kerdezkedes, az Sz. Irás szerént; az kisdedeknek tudománnyaban, és az Urnak szolgalattyában és félelmében való felnevellésére. - [2] (Az üdvességnek fundamentumárol ki adatott tanuságnak Szent Irásból valo meg-mutogatása, az Öregekért, kik az Kérdéseket és Feleleteket meg tanulták, az fellyül meg-irt Kérdezkedésnek rendi szerént.) Nyomtattatott Colosvárban 1659-ben [typ. Heltai].«",1659,Kolozsvár,typ. Heltai,,,,,,,,,magyar,,0,,,0,,,,,
2840,2840,,1,,,»KALENDÁRIUM és prognosztikon az 1660. esztendõre. Kõszeg 1659 Wechelius András. - 8°«,1659,"Kőszeg, H",Wechelius András,,,,,,,,,magyar,,0,,,0,,,,,
2841,2841,,,,,"ADAMI, Martin, sen.: [&&görög] Salvatoris nati celebris a neb Slawnost wanoènj powjnna, w kterég se krestanska dusse wynauèuge, kterak ona gest powjnna bratra swého milého Krysta Pána na den geho narozenj slawného wázati, a kterak on se gj chce dráze odmìnitj. Z Episstoly S. která se na den slawný narozenj Božjho w cyrkwj swate wykladá tit. cap. 2. a v. 11. ad finem, kterau sepsal a wydal ... Martinus Adami kazatel slowa Božjho pri cyrkwj nemecké mìsta kralowského a swobodného Lewocže. [Levoèa] MDCLIX v Wawrince Brewera.",1659,Lőcse,"Brewer, Lorenz",,A8 + ?,[8 + ?] fol.,8°,,Rizner I 9-10 - Knihopis 60 - Caplovic 1057,Evangélikus karácsonyi prédikációk biblikus cseh nyelven.,,biblikus cseh,Bratislava Acad 4* - Budapest Acad cop. - Budapest Nat cop.,1,Bratislava=1,,0,,16,8,16,1
2842,2842,,,1,,<Aimanach und Prognosticon auf das Jahr 1660. Leutschau 1659 Brewer. - 16°>,1659,Lőcse,"Brewer, Lorenz",,,,,,,,,német,,0,,,0,,,,,
2843,2843,,,,,"BREWER, Joannes: Honor senectutis, quem viro prudentia senili, dignitate senatoria, auctoritate pereximia d. Lavrentio Brewer, civi ac senatori reip. Leutsch. prim., typographo item per Hung. haud incelebri, patri mihi perpetuo amoris ac honoris cultu colendo, recursui diei natalis gratulabuudus(!) offert Johannes Brewer, fi lius obsequentissimus, anno 1659. die 10. Augusti Leutschoviae. (Leutschoviae 1659) [Brewer.]",1659,Lőcse,"Brewer, Lorenz",,A4,[4] fol.,4°,,,Köszöntõ beszéd.,,latin,Budapest Nat 1,1,Budapest=1,,0,,8,4,8,1
2844,2844,,,,,"CZICKAEUS, Philippus: Disputatio metaphysica prima de objecto metaphysicae, nonnullis philosophorum sententiis opposita et moderatore dn. Valentino Perackio, h. t. gymn. Schemn. rectore ... a praeside et autore Philippo Czickaeo Varall., ll. et phil. stud., h.t. coll. secundario, respondente Melchiore Geitnero Warall. in eodem gymn. ... ad diem 15. Aug. ... disquisitioni exposita. Leutschoviae MDCLIX e typographia Breveriana.",1659,Lőcse,"Brewer, Lorenz",,A4 B4 C2,[10] fol.,4°,"Orn., init.",MKsz 1930: 308 - Caplovic 1059,Filozófiai vizsgatételek.,,görög,Budapest Nat 1 - Martin Nat 1,2,"Budapest=1, Martin=1",,0,,20,4,8,2.5
2845,2845,,,,,"[EPICEDIA in mortem Davidis Genersich] ... solenniterq(ue) in templo parochiali humatus fuisset, cum dolore exhibuerunt affi nes patricij. Annus et dies obitus pie demortui, vir iste consvlaris istivs regiae et liberae civitatis placide obiit, vbi nobis in Ivnio novendecies sol ortvs est. (Leutschoviae MDCLIX) [Brewer].",1659,Lőcse,"Brewer, Lorenz",,,[1] fol.,[cr. 280] × 290 mm,,RMK II 930 - Caplovic 1060,Gyászversek.,,latin,Budapest Univ 2 (Ráth György),1,Budapest=1,,0,,2,2,3,0.6666666666666666
2846,2846,,,,,"FELICITATI, honori et fausto omini novorum conjugum ... Pavli Cvncii, ecclesiastae Waraliensis ... Elisabethae Mauckschianae ..., Johannis Grünn derelictae viduae IX. Februarii ... MDCLIX vinculo ... junctorum gratulantur fautores, amici et fratres... Leutschoviae (1659) typis Laurentii Brever.",1659,Lőcse,"Brewer, Lorenz",,A4,[4] fol.,4°,"Orn., init.",RMK II 931 - Caplovic 1061,Lakodalmi versek latinul és németül.,,latin; német,Budapest Acad 1 - Budapest Nat 1,2,Budapest=2,,0,,8,4,8,1
2847,2847,,,,,"HONORI et felicitati amabilissimorum neogamorum, sponsi ... Davidis Spielenbergeri, medicinae doctoris ... sponsae ... Svsannae Reginae ..., Georgii Ulrici Rhevteri ... relictae ... fi liae, ipsa die nuptiarum sacra 21. Septembris anni 1659 ... vota sua dd. fautor et amici Schemnicenses. [Leutschoviae 1659 Brewer.]",1659,Lőcse,"Brewer, Lorenz",,A4,[4] fol.,4°,Init.,,Lakodalmi versek latinul és németül.,,latin; német,Budapest Nat cop. - Halle Univ 1 (<- Berlin Univ Inst <- Halle Univ),1,Halle=1,,0,,8,4,8,1
2848,2848,,,,,"KÕSZEGI GÁSPÁR István: Jo utra igazito könyvetske. Az jól élni és járni igyekezöknek kedvekért irattatott elmelkedeskeppen a’ Szent Pál apostol tanitásából, az Ephesusban írt levelének 5. cap. a’ 15. verstõl fogva mind a’ huszon-kettödik versiglen Köszegi Gaspar Istvan, osdgyáni praedikátor által. Lötsen 1659 [Brewer].",1659,Lőcse,"Brewer, Lorenz",,"§5, A12-D12 E6",[10] + 107 pag.,12°,Orn.,RMK I 944 - Caplovic 1063,Evangélikus elmélkedés.,,magyar,Budapest Acad 1 - Budapest Ref 1 - Kosice Dioec 0,3,"Budapest=2, Kosice=1",,0,,117,12,24,4.875
2849,2849,,,,,"KÕSZEGI GÁSPÁR István: Lelki tüköre az embernek az Isten akarattya felöl, melly áll az Istennek a’ Sinai hegyen két kö táblán ki-adattatott tiz parantsolattyából, mellyet somma-szerint rövideden rendel meg-magyarázott Köszegi Gaspar Istvan osdgyani praedikator. Lötsen 1659 Brever Lörintz.",1659,Lőcse,"Brewer, Lorenz",,")(8, A12-F12",[80] fol.,12°,"Orn., init.",RMK I 943 - Caplovic 1064,Evangélikus bibliamagyarázat.,,magyar,Budapest Acad 2* - Budapest Ref 1 - Kosice Dioec 0,3,"Budapest=2, Kosice=1",,0,,160,12,24,6.666666666666667
2850,2850,,,,,MOLNÁR Gergely: Elementa grammaticae Latinae pro recta institutione juventutis scholasticae ex prolixioribus grammaticorum praeceptis in breve compendium contracta a Gregorio Molnar piae memoriae. Nunc denuo excusa ... et a plurimis mendis ... purgata et locupletata. [Leutschoviae] MDCLIX [Brewer].,1659,Lőcse,"Brewer, Lorenz",,A8-H8,[64] fol.,8°,Orn.,MKsz 1963: 345 - Caplovic 1065,"Latin nyelvtan és bölcs mondások latin, magyar és német nyelven.",,latin; magyar; német,Budapest Acad cop. - Levoča Ev 1,1,Levoča=1,,0,,128,8,16,8
2851,2851,,,,,"PÜSCHEL, Alexander: Doppelte Aria als ... [An]dreas Kvhn mit der ... Frauen [Cat]harina Schützin geborne Rot[h?] seinen hochzeitlichen ehren Tag den 24. Februar Anno 1659 ansehnlich begangen. Wohlmeinendt auffgesetzet von Alexander Püschel bestelten Orgonist. in der Pharr Kirchen zu Caschau. Zur Leutschau (1659) bey Lorentz Brewer.",1659,Lőcse,"Brewer, Lorenz",,[ ]2+?,[2 + ?] fol.,4°,hangjegy,Caplovic 1066a - Appendix 195,Lakodalmi köszöntõ ének.,,magyar,Budapest Nat cop. (Kraków Univ) - Kraków Univ 0,1,Kraków=1,,0,,4,4,8,0.5
2852,2852,,,,,"[1] UJ ÉS O kalendariom Christus urunk születése után való 1660. avagy szökö esztendö, mellyet mostan Magyar és Erdély országra és egyéb szomszéd helyekre alkalmaztatott Neubarth Christoph theologus és astrologus. - [2] (Astrológiai visgálás ez, Urunk születése után való MDCLX. szökö-esztendöre, mellyben az esztendönek négy részeiben lévö esetek, mind háborúság vagy békeség, betegség vagy egésség felöl való dolgok; kik az egek és tsillagok infl uentiáiból láttatnak származni, itt mostan nagy hü[s]eggel meg-jelentetnek, kiket nagy hüseggel Magyar és Erdély országra igazgatott Neubarth Christoph Bolesla-Silesius.) Lötsén [1659] Brever Lörintz által.",1659,Lőcse,"Brewer, Lorenz",,A8-E8,[40] fol.,16°,Color.,OSzKÉvk 1959: 184 - Caplovic 1066,Uj-naptár ó-naptárral és prognosztikon.,,magyar,Budapest Nat 1,1,Budapest=1,,0,,80,16,32,2.5
2853,2853,,,,,"VIRO praestantissimo et eximio ... Danieli Jandicio Dantisco Prusso, gymnasii Epperjessensis substituto conrectori et vocato collegae, sponso et ... Mariae Sybmetingeriae sponsae felix iter et conjugium fautores et collegae precantur, die 1. Maji anno MDCLIX. Leutschoviae (1659) typis Laurentii Brever.",1659,Lőcse,"Brewer, Lorenz",,A4,[4] fol.,4°,,RMK II 932 - Caplovic 1067,Lakodalmi versek.,,latin,Budapest Nat 1,1,Budapest=1,,0,,8,4,8,1
2854,2854,,,,,"VOTA et desideria, quibus ... Davidem Spielenbergervm, philosophiae atq(ue) medic(inae) doctorem et practicum, festivitatem nuptialem anno ... 1659. die 21. Septembris Schemnitij Montanarum celebrantem cum Svsanna Regina ... Georgii Vlrici Reutheri, s. c. m. aulae familiaris, ordinis senatorij Schemnicensis primipilatis et metallurgices cultoris clarissimi relicta fi lia, prosequuntur et ... gratulant[ur], apprecantur fautores et amici Scepusienses. Leutschoviae (1659) typis Laurentii Breveri.",1659,Lőcse,"Brewer, Lorenz",,)(8,[8] fol.,2°,Init.,RMK II 933 - Caplovic 1068,Lakodalmi versek latinul és németül.,,latin; német,Budapest Acad 1 - Budapest Nat 1 - Halle Univ 1 (<- Berlin Univ Inst <- Halle Univ),3,"Budapest=2, Halle=1",,0,,16,2,4,4
2855,2855,,,,,"VOTIVI applausus, quibus ... conjugio cum ... sponso ... Johanni Popradio, rectori scholae Waralliensis ... Svsanna Reichia derelicta ... Joachimi Reichii pastoris quondam ecc(lesiae) Olasien. ... et 24 reg(iae) oratoris ... poët(ae) laur(eati) fi lia, h(oc) t(empore) ... Johannis Koblinsky ... privigna anno MDCLIX die 22 Junij feliciter sponsa domum duceretur. Congratulatum ibant boni fautores, amici et discipuli. Leutschoviae (1659) typis Laurentii Brewer.",1659,Lőcse,"Brewer, Lorenz",,A4 B2,[6] fol.,4°,"Orn., init.",RMK II 934 - Caplovic 1069,Lakodalmi versek latinul és németül.,,latin; német,Budapest Nat 1 - Levoča Ev 1,2,"Budapest=1, Levoča=1",,0,,12,4,8,1.5
